variable,init_month,lead,correlation,nse,crpss,n
peakgate3_Sau,8,1,-0.329,0.329,0.329,27
peakgate3_Sau,8,2,-0.252,0.252,0.252,27
peakgate3_Sau,8,3,-0.046,0.046,0.046,26
peakgate3_Sau,8,4,-0.277,0.277,0.277,26
peakgate3_Sau,8,5,-0.333,0.333,0.333,26
peakgate3_Sau,8,6,-0.525,0.525,0.525,26
peakgate3_Sau,8,7,-0.573,0.573,0.573,26
peakgate3_Sau,9,1,-0.35,0.35,0.35,27
peakgate3_Sau,9,2,-0.086,0.086,0.086,27
peakgate3_Sau,9,3,-0.273,0.273,0.273,26
peakgate3_Sau,9,4,-0.46,0.46,0.46,27
peakgate3_Sau,9,5,-0.571,0.571,0.571,27
peakgate3_Sau,9,6,-0.598,0.598,0.598,27
peakgate3_Sau,9,7,-0.451,0.451,0.451,26
peakgate3_Sau,10,1,-0.153,0.153,0.153,27
peakgate3_Sau,10,2,-0.407,0.407,0.407,27
peakgate3_Sau,10,3,-0.66,0.66,0.66,26
peakgate3_Sau,10,4,-0.658,0.658,0.658,26
peakgate3_Sau,10,5,-0.581,0.581,0.581,26
peakgate3_Sau,10,6,-0.513,0.513,0.513,25
peakgate3_Sau,10,7,-0.699,0.699,0.699,25
peakgate3_Sau,11,1,-0.204,0.204,0.204,27
peakgate3_Sau,11,2,-0.373,0.373,0.373,28
peakgate3_Sau,11,3,-0.324,0.324,0.324,27
peakgate3_Sau,11,4,-0.434,0.434,0.434,28
peakgate3_Sau,11,5,-0.507,0.507,0.507,27
peakgate3_Sau,11,6,-0.588,0.588,0.588,27
peakgate3_Sau,11,7,-0.218,0.218,0.218,27
peakgate3_Sau,12,1,-0.314,0.314,0.314,28
peakgate3_Sau,12,2,-0.416,0.416,0.416,27
peakgate3_Sau,12,3,-0.569,0.569,0.569,27
peakgate3_Sau,12,4,-0.428,0.428,0.428,27
peakgate3_Sau,12,5,-0.625,0.625,0.625,27
peakgate3_Sau,12,6,-0.319,0.319,0.319,27
peakgate3_Sau,12,7,-0.127,0.127,0.127,27
peakgate1_Susqueda,1,1,-0.578,0.578,0.578,30
peakgate1_Susqueda,1,2,-0.331,0.331,0.331,30
peakgate1_Susqueda,1,3,-0.462,0.462,0.462,29
peakgate1_Susqueda,1,4,-0.352,0.352,0.352,29
peakgate1_Susqueda,1,5,-0.222,0.222,0.222,30
peakgate1_Susqueda,1,6,0.056,-0.056,-0.056,30
peakgate1_Susqueda,1,7,0.253,-0.253,-0.253,28
peakgate1_Susqueda,2,1,-0.333,0.333,0.333,31
peakgate1_Susqueda,2,2,-0.376,0.376,0.376,30
peakgate1_Susqueda,2,3,-0.436,0.436,0.436,30
peakgate1_Susqueda,2,4,-0.012,0.012,0.012,30
peakgate1_Susqueda,2,5,0.071,-0.071,-0.071,30
peakgate1_Susqueda,2,6,0.293,-0.293,-0.293,28
peakgate1_Susqueda,2,7,-0.133,0.133,0.133,28
peakgate1_Susqueda,3,1,-0.365,0.365,0.365,30
peakgate1_Susqueda,3,2,-0.329,0.329,0.329,30
peakgate1_Susqueda,3,3,-0.177,0.177,0.177,30
peakgate1_Susqueda,3,4,0.006,-0.006,-0.006,30
peakgate1_Susqueda,3,5,0.276,-0.276,-0.276,28
